,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Unnamed: 0.1_x,Unnamed: 0_x,capture_id,image_rank_in_capture,image_path_rel,Unnamed: 0.1_y,Unnamed: 0_y,season,site,roll,capture,capture_date_local,capture_time_local,subject_id,question__count_max,question__count_median,question__count_min,question__standing,question__resting,question__moving,question__eating,question__interacting,question__young_present,p_users_identified_this_species,pielous_evenness_index,question__horns_visible,labels,label,file,bbox,max_detection_conf,question__species
5210,46064,46064,46064,46064,46064,46064,46064,46064,46064,46064,46064,46064,46064,46064,46064,46064,344072,7017306,338267,SER_S11#L07#1#218,3,SER_S11/L07/L07_R1/SER_S11_L07_R1_IMAG0633.JPG,2629231,131846,SER_S11,L07,1,218,2015-07-10,12:41:15,29770656,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.44,0.89,0.75,33,11.0,SER_S11/L07/L07_R1/SER_S11_L07_R1_IMAG0633.JPG,"[0.144, 0.551, 0.111, 0.13]",0.966,eland
9989,9407,9407,9407,9407,9407,9407,9407,9407,9407,9407,9407,9407,9407,9407,9407,9407,71593,6749679,70640,SER_S11#C12#2#43,3,SER_S11/C12/C12_R2/SER_S11_C12_R2_IMAG0124.JPG,2526049,28664,SER_S11,C12,2,43,2015-10-21,13:14:48,19242739,1,1,1,0.06,0.0,0.94,0.12,0.0,0.0,1.0,0.59,,1,15.0,SER_S11/C12/C12_R2/SER_S11_C12_R2_IMAG0124.JPG,"[0.642, 0.71, 0.314, 0.218]",0.98,zebra
9224,24097,24097,24097,24097,24097,24097,24097,24097,24097,24097,24097,24097,24097,24097,24097,24097,103501,6781095,102056,SER_S11#E03#1#984,1,SER_S11/E03/E03_R1/SER_S11_E03_R1_IMAG2557.JPG,2538630,41245,SER_S11,E03,1,984,2015-09-18,17:23:11,21927369,11-50,11-50,5,0.53,0.2,0.47,0.93,0.0,0.67,0.88,0.4,,3,7.0,SER_S11/E03/E03_R1/SER_S11_E03_R1_IMAG2557.JPG,"[0.072, 0.645, 0.064, 0.136]",0.973,buffalo
4185,61641,61641,61641,61641,61641,61641,61641,61641,61641,61641,61641,61641,61641,61641,61641,61641,96494,6774164,95125,SER_S11#E02#2#219,2,SER_S11/E02/E02_R2/SER_S11_E02_R2_IMAG0605.JPG,2536145,38760,SER_S11,E02,2,219,2015-11-09,18:05:30,21924806,2,1,1,0.06,0.12,1.0,0.0,0.06,0.18,0.85,0.61,,29,1.0,SER_S11/E02/E02_R2/SER_S11_E02_R2_IMAG0605.JPG,"[0.62, 0.559, 0.192, 0.16]",0.998,monkey
3021,5052,5052,5052,5052,5052,5052,5052,5052,5052,5052,5052,5052,5052,5052,5052,5052,96205,6773896,94857,SER_S11#E02#2#119,2,SER_S11/E02/E02_R2/SER_S11_E02_R2_IMAG0337.JPG,2536038,38653,SER_S11,E02,2,119,2015-10-25,13:12:55,21924706,3,2,2,0.09,0.0,1.0,0.0,0.0,0.64,0.55,0.78,0.0,11,,SER_S11/E02/E02_R2/SER_S11_E02_R2_IMAG0337.JPG,"[0, 0.171, 0.349, 0.821]",0.999,impala
4681,46892,46892,46892,46892,46892,46892,46892,46892,46892,46892,46892,46892,46892,46892,46892,46892,228240,6903711,224672,SER_S11#I02#1#158,3,SER_S11/I02/I02_R1/SER_S11_I02_R1_IMAG0423.JPG,2585026,87641,SER_S11,I02,1,158,2015-08-19,07:10:51,27847063,6,5,2,0.22,0.0,0.44,0.78,0.0,0.11,1.0,0.0,,1,15.0,SER_S11/I02/I02_R1/SER_S11_I02_R1_IMAG0423.JPG,"[0.078, 0.571, 0.19, 0.142]",0.999,zebra
7020,42822,42822,42822,42822,42822,42822,42822,42822,42822,42822,42822,42822,42822,42822,42822,42822,95706,6773409,94370,SER_S11#E02#1#912,3,SER_S11/E02/E02_R1/SER_S11_E02_R1_IMAG2517.JPG,2535853,38468,SER_S11,E02,1,912,2015-09-24,10:47:47,21924525,1,1,1,0.64,0.0,0.36,0.0,0.07,0.0,0.7,0.66,,16,,SER_S11/E02/E02_R1/SER_S11_E02_R1_IMAG2517.JPG,"[0.28, 0.504, 0.092, 0.145]",0.998,dikdik
4174,111230,111230,111230,111230,111230,111230,111230,111230,111230,111230,111230,111230,111230,111230,111230,111230,335404,7008671,329632,SER_S11#K13#1#64,3,SER_S11/K13/K13_R1/SER_S11_K13_R1_IMAG0135.JPG,2626071,128686,SER_S11,K13,1,64,2015-08-16,09:45:10,29767346,1,1,1,0.2,0.0,1.0,0.0,0.0,0.0,0.56,0.83,,2,,SER_S11/K13/K13_R1/SER_S11_K13_R1_IMAG0135.JPG,"[0.245, 0.496, 0.153, 0.183]",0.97,warthog
1508,16377,16377,16377,16377,16377,16377,16377,16377,16377,16377,16377,16377,16377,16377,16377,16377,34763,6712929,33890,SER_S11#C02#2#249,1,SER_S11/C02/C02_R2/SER_S11_C02_R2_IMAG0702.JPG,2510581,13196,SER_S11,C02,2,249,2015-11-10,12:00:58,18881610,1,1,1,0.24,0.0,0.88,0.06,0.06,0.0,1.0,0.0,,2,,SER_S11/C02/C02_R2/SER_S11_C02_R2_IMAG0702.JPG,"[0.74, 0.416, 0.259, 0.556]",0.992,warthog
9960,113385,113385,113385,113385,113385,113385,113385,113385,113385,113385,113385,113385,113385,113385,113385,113385,71733,6749816,70777,SER_S11#C12#2#89,2,SER_S11/C12/C12_R2/SER_S11_C12_R2_IMAG0261.JPG,2526096,28711,SER_S11,C12,2,89,2015-10-21,18:14:15,19242785,1,1,1,0.11,0.0,0.89,0.0,0.0,0.0,1.0,0.0,,1,15.0,SER_S11/C12/C12_R2/SER_S11_C12_R2_IMAG0261.JPG,"[0.242, 0.673, 0.242, 0.161]",0.995,zebra
637,21566,21566,21566,21566,21566,21566,21566,21566,21566,21566,21566,21566,21566,21566,21566,21566,98035,6775678,96639,SER_S11#E02#2#736,3,SER_S11/E02/E02_R2/SER_S11_E02_R2_IMAG2119.JPG,2536671,39286,SER_S11,E02,2,736,2015-11-22,10:20:20,21925324,2,1,1,0.64,0.07,0.07,0.57,0.07,0.07,1.0,0.35,,10,,SER_S11/E02/E02_R2/SER_S11_E02_R2_IMAG2119.JPG,"[0.574, 0.27, 0.042, 0.131]",0.926,giraffe
2876,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,16408,201137,6877314,198275,SER_S11#H02#1#868,1,SER_S11/H02/H02_R1/SER_S11_H02_R1_IMAG2105.JPG,2575454,78069,SER_S11,H02,1,868,2015-08-21,16:52:39,27828255,3,3,2,0.5,0.0,0.7,0.9,0.0,0.0,1.0,0.0,,1,15.0,SER_S11/H02/H02_R1/SER_S11_H02_R1_IMAG2105.JPG,"[0.827, 0.501, 0.17, 0.128]",0.989,zebra
5830,59157,59157,59157,59157,59157,59157,59157,59157,59157,59157,59157,59157,59157,59157,59157,59157,335,6679368,329,SER_S11#B03#1#169,1,SER_S11/B03/B03_R1/SER_S11_B03_R1_IMAG0331.JPG,2497555,170,SER_S11,B03,1,169,2015-08-24,06:35:57,18837648,3,3,1,0.11,0.0,0.0,1.0,0.0,0.22,0.45,0.87,1.0,11,,SER_S11/B03/B03_R1/SER_S11_B03_R1_IMAG0331.JPG,"[0.463, 0.539, 0.251, 0.232]",0.984,impala
5377,77457,77457,77457,77457,77457,77457,77457,77457,77457,77457,77457,77457,77457,77457,77457,77457,27757,6706638,27599,SER_S11#C01#1#867,2,SER_S11/C01/C01_R1/SER_S11_C01_R1_IMAG2163.JPG,2508032,10647,SER_S11,C01,1,867,2015-10-12,08:25:57,18873558,2,2,1,0.62,0.0,0.0,0.5,0.0,0.0,0.47,0.86,,2,,SER_S11/C01/C01_R1/SER_S11_C01_R1_IMAG2163.JPG,"[0, 0.682, 0.417, 0.313]",0.998,warthog
10078,6358,6358,6358,6358,6358,6358,6358,6358,6358,6358,6358,6358,6358,6358,6358,6358,364020,7037080,358041,SER_S11#M06#1#118,1,SER_S11/M06/M06_R1/SER_S11_M06_R1_IMAG0331.JPG,2636046,138661,SER_S11,M06,1,118,2015-09-08,12:04:53,29777413,1,1,1,0.67,0.22,0.11,0.11,0.0,0.0,0.9,0.55,,2,,SER_S11/M06/M06_R1/SER_S11_M06_R1_IMAG0331.JPG,"[0.221, 0.773, 0.537, 0.226]",0.992,warthog
1123,15404,15404,15404,15404,15404,15404,15404,15404,15404,15404,15404,15404,15404,15404,15404,15404,230034,6905319,226280,SER_S11#I03#1#324,2,SER_S11/I03/I03_R1/SER_S11_I03_R1_IMAG0734.JPG,2585771,88386,SER_S11,I03,1,324,2015-08-26,12:32:15,27848363,1,1,1,0.83,0.0,0.17,0.17,0.0,0.0,0.6,0.82,,13,2.0,SER_S11/I03/I03_R1/SER_S11_I03_R1_IMAG0734.JPG,"[0, 0, 0.997, 0.994]",0.999,wildebeest
2036,81631,81631,81631,81631,81631,81631,81631,81631,81631,81631,81631,81631,81631,81631,81631,81631,101010,6778638,99599,SER_S11#E03#1#44,1,SER_S11/E03/E03_R1/SER_S11_E03_R1_IMAG0099.JPG,2537679,40294,SER_S11,E03,1,44,2015-08-08,07:59:43,21926354,2,2,1,0.07,0.0,0.93,0.0,0.0,0.07,0.88,0.54,,2,,SER_S11/E03/E03_R1/SER_S11_E03_R1_IMAG0099.JPG,"[0.689, 0.652, 0.108, 0.076]",0.912,warthog
149,96949,96949,96949,96949,96949,96949,96949,96949,96949,96949,96949,96949,96949,96949,96949,96949,33138,6711690,32651,SER_S11#C02#1#533,2,SER_S11/C02/C02_R1/SER_S11_C02_R1_IMAG1311.JPG,2510021,12636,SER_S11,C02,1,533,2015-10-11,11:20:31,18878424,11-50,8,4,0.8,0.13,0.4,0.53,0.0,0.0,0.75,0.86,,13,2.0,SER_S11/C02/C02_R1/SER_S11_C02_R1_IMAG1311.JPG,"[0.305, 0.362, 0.072, 0.09]",0.997,wildebeest
4368,113433,113433,113433,113433,113433,113433,113433,113433,113433,113433,113433,113433,113433,113433,113433,113433,477727,7149820,470781,SER_S11#R08#2#146,2,SER_S11/R08/R08_R2/SER_S11_R08_R2_IMAG0346.JPG,2677473,180088,SER_S11,R08,2,146,2015-11-05,09:48:10,31602427,1,1,1,0.0,0.0,0.44,0.89,0.0,0.0,1.0,0.0,,2,,SER_S11/R08/R08_R2/SER_S11_R08_R2_IMAG0346.JPG,"[0.531, 0.461, 0.322, 0.257]",0.999,warthog
7743,26671,26671,26671,26671,26671,26671,26671,26671,26671,26671,26671,26671,26671,26671,26671,26671,350033,7023159,344120,SER_S11#L10#2#1110,3,SER_S11/L10/L10_R2/SER_S11_L10_R2_IMAG3171.JPG,2631323,133938,SER_S11,L10,2,1110,2015-10-17,12:46:03,29772712,1,1,1,0.4,0.4,0.2,0.0,0.0,0.0,0.5,0.94,,9,32.0,SER_S11/L10/L10_R2/SER_S11_L10_R2_IMAG3171.JPG,"[0.64, 0.612, 0.35, 0.383]",0.988,hyena
2319,90363,90363,90363,90363,90363,90363,90363,90363,90363,90363,90363,90363,90363,90363,90363,90363,95070,6772797,93758,SER_S11#E02#1#682,1,SER_S11/E02/E02_R1/SER_S11_E02_R1_IMAG1905.JPG,2535615,38230,SER_S11,E02,1,682,2015-08-30,11:25:46,21924295,2,2,1,0.27,0.0,1.0,0.0,0.0,0.0,0.61,0.75,0.0,11,,SER_S11/E02/E02_R1/SER_S11_E02_R1_IMAG1905.JPG,"[0.196, 0.304, 0.369, 0.398]",0.997,impala
6334,78077,78077,78077,78077,78077,78077,78077,78077,78077,78077,78077,78077,78077,78077,78077,78077,202203,6878324,199285,SER_S11#H02#2#367,3,SER_S11/H02/H02_R2/SER_S11_H02_R2_IMAG0908.JPG,2575901,78516,SER_S11,H02,2,367,2015-11-15,09:54:57,27829028,3,2,2,0.0,0.0,1.0,0.2,0.0,0.1,1.0,0.0,,7,19.0,SER_S11/H02/H02_R2/SER_S11_H02_R2_IMAG0908.JPG,"[0.588, 0.604, 0.122, 0.116]",0.99,baboon
9722,12198,12198,12198,12198,12198,12198,12198,12198,12198,12198,12198,12198,12198,12198,12198,12198,197658,6874204,195165,SER_S11#H01#1#220,3,SER_S11/H01/H01_R1/SER_S11_H01_R1_IMAG0571.JPG,2574025,76640,SER_S11,H01,1,220,2015-08-20,17:34:25,27734704,2,2,2,0.22,0.0,0.0,0.89,0.0,0.0,0.9,1.0,,1,15.0,SER_S11/H01/H01_R1/SER_S11_H01_R1_IMAG0571.JPG,"[0.117, 0.332, 0.284, 0.339]",0.999,zebra
4900,8288,8288,8288,8288,8288,8288,8288,8288,8288,8288,8288,8288,8288,8288,8288,8288,32515,6711228,32189,SER_S11#C02#1#371,2,SER_S11/C02/C02_R1/SER_S11_C02_R1_IMAG0849.JPG,2509806,12421,SER_S11,C02,1,371,2015-10-05,09:47:33,18877938,11-50,5,1,0.76,0.35,0.47,0.29,0.12,0.06,0.94,0.84,,1,15.0,SER_S11/C02/C02_R1/SER_S11_C02_R1_IMAG0849.JPG,"[0.126, 0.338, 0.08, 0.128]",0.989,zebra
7139,18076,18076,18076,18076,18076,18076,18076,18076,18076,18076,18076,18076,18076,18076,18076,18076,198943,6875425,196386,SER_S11#H02#1#89,1,SER_S11/H02/H02_R1/SER_S11_H02_R1_IMAG0216.JPG,2574568,77183,SER_S11,H02,1,89,2015-08-08,12:11:03,27735225,4,3,3,0.8,0.0,0.9,0.5,0.0,0.6,1.0,0.0,,10,,SER_S11/H02/H02_R1/SER_S11_H02_R1_IMAG0216.JPG,"[0.002, 0.37, 0.157, 0.278]",0.998,giraffe
1408,30114,30114,30114,30114,30114,30114,30114,30114,30114,30114,30114,30114,30114,30114,30114,30114,366708,7039664,360625,SER_S11#M07#2#169,2,SER_S11/M07/M07_R2/SER_S11_M07_R2_IMAG0497.JPG,2637047,139662,SER_S11,M07,2,169,2015-09-24,14:18:01,29791383,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,6,10.0,SER_S11/M07/M07_R2/SER_S11_M07_R2_IMAG0497.JPG,"[0.13, 0.227, 0.044, 0.049]",0.984,birdother
9317,1508,1508,1508,1508,1508,1508,1508,1508,1508,1508,1508,1508,1508,1508,1508,1508,5169,6684196,5157,SER_S11#B09#1#1298,1,SER_S11/B09/B09_R1/SER_S11_B09_R1_IMAG3541.JPG,2499438,2053,SER_S11,B09,1,1298,2015-08-25,16:40:45,18843767,5,5,4,0.6,0.0,0.8,1.0,0.0,0.0,0.38,0.9,,39,,SER_S11/B09/B09_R1/SER_S11_B09_R1_IMAG3541.JPG,"[0.3, 0.452, 0.021, 0.021]",0.878,topi
6330,81785,81785,81785,81785,81785,81785,81785,81785,81785,81785,81785,81785,81785,81785,81785,81785,301790,6975268,296229,SER_S11#K03#1#584,3,SER_S11/K03/K03_R1/SER_S11_K03_R1_IMAG1431.JPG,2614246,116861,SER_S11,K03,1,584,2015-09-07,07:27:23,29743378,2,2,2,1.0,0.0,1.0,0.0,0.0,0.6,0.5,0.84,0.0,11,,SER_S11/K03/K03_R1/SER_S11_K03_R1_IMAG1431.JPG,"[0.336, 0.483, 0.073, 0.096]",0.988,impala
6810,3339,3339,3339,3339,3339,3339,3339,3339,3339,3339,3339,3339,3339,3339,3339,3339,303803,6977146,298107,SER_S11#K03#2#458,1,SER_S11/K03/K03_R2/SER_S11_K03_R2_IMAG1285.JPG,2614984,117599,SER_S11,K03,2,458,2015-12-12,07:52:32,29744071,2,2,2,0.2,0.0,0.8,0.0,0.0,0.0,1.0,0.0,,7,19.0,SER_S11/K03/K03_R2/SER_S11_K03_R2_IMAG1285.JPG,"[0.675, 0.614, 0.107, 0.091]",0.566,baboon
9608,45392,45392,45392,45392,45392,45392,45392,45392,45392,45392,45392,45392,45392,45392,45392,45392,443362,7115612,436573,SER_S11#P05#1#523,2,SER_S11/P05/P05_R1/SER_S11_P05_R1_IMAG1504.JPG,2665148,167763,SER_S11,P05,1,523,2015-09-18,13:45:57,31553704,1,1,1,1.0,0.0,0.11,0.0,0.0,0.0,1.0,0.0,,2,,SER_S11/P05/P05_R1/SER_S11_P05_R1_IMAG1504.JPG,"[0, 0.18, 0.654, 0.82]",0.999,warthog
1432,68220,68220,68220,68220,68220,68220,68220,68220,68220,68220,68220,68220,68220,68220,68220,68220,456410,7128602,449563,SER_S11#P09#1#245,3,SER_S11/P09/P09_R1/SER_S11_P09_R1_IMAG0636.JPG,2669776,172391,SER_S11,P09,1,245,2015-11-01,11:12:23,31558821,1,1,1,0.25,0.0,0.12,0.88,0.0,0.0,0.89,0.69,,2,,SER_S11/P09/P09_R1/SER_S11_P09_R1_IMAG0636.JPG,"[0, 0.758, 0.234, 0.235]",0.997,warthog
742,8839,8839,8839,8839,8839,8839,8839,8839,8839,8839,8839,8839,8839,8839,8839,8839,251357,6926331,247292,SER_S11#I06#1#291,2,SER_S11/I06/I06_R1/SER_S11_I06_R1_IMAG0529.JPG,2593642,96257,SER_S11,I06,1,291,2015-10-24,09:17:44,27905559,1,1,1,0.12,0.0,0.0,0.88,0.0,0.0,0.8,0.72,0.88,33,11.0,SER_S11/I06/I06_R1/SER_S11_I06_R1_IMAG0529.JPG,"[0.001, 0, 0.674, 0.996]",0.999,eland
3632,7397,7397,7397,7397,7397,7397,7397,7397,7397,7397,7397,7397,7397,7397,7397,7397,377527,7050389,371350,SER_S11#M09#1#1630,2,SER_S11/M09/M09_R1/SER_S11_M09_R1_IMAG4489.JPG,2641611,144226,SER_S11,M09,1,1630,2015-09-01,12:45:40,29811466,1,1,1,1.0,0.0,0.0,0.0,0.0,,0.14,1.0,,2,,SER_S11/M09/M09_R1/SER_S11_M09_R1_IMAG4489.JPG,"[0, 0.21, 0.912, 0.779]",0.697,warthog
3677,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,12172,443055,7115305,436266,SER_S11#P05#1#416,1,SER_S11/P05/P05_R1/SER_S11_P05_R1_IMAG1196.JPG,2665042,167657,SER_S11,P05,1,416,2015-09-06,18:13:06,31553551,2,2,2,0.78,0.0,0.11,0.89,0.0,0.0,0.9,0.47,,32,,SER_S11/P05/P05_R1/SER_S11_P05_R1_IMAG1196.JPG,"[0.196, 0.3, 0.11, 0.23]",0.997,gazellegrants
1084,48134,48134,48134,48134,48134,48134,48134,48134,48134,48134,48134,48134,48134,48134,48134,48134,255731,6930612,251573,SER_S11#I13#1#512,2,SER_S11/I13/I13_R1/SER_S11_I13_R1_IMAG1492.JPG,2597266,99881,SER_S11,I13,1,512,2015-10-13,14:42:03,27909563,5,4,3,1.0,0.67,0.17,0.33,0.0,0.0,0.6,0.81,,39,,SER_S11/I13/I13_R1/SER_S11_I13_R1_IMAG1492.JPG,"[0.65, 0, 0.348, 0.609]",0.996,topi
6930,58575,58575,58575,58575,58575,58575,58575,58575,58575,58575,58575,58575,58575,58575,58575,58575,373182,7046095,367056,SER_S11#M09#1#73,1,SER_S11/M09/M09_R1/SER_S11_M09_R1_IMAG0195.JPG,2640037,142652,SER_S11,M09,1,73,2015-07-11,12:45:13,29794654,1,1,1,0.88,0.12,0.0,0.0,0.0,0.0,0.89,0.5,,9,32.0,SER_S11/M09/M09_R1/SER_S11_M09_R1_IMAG0195.JPG,"[0.333, 0.451, 0.321, 0.545]",0.969,hyena
10166,76538,76538,76538,76538,76538,76538,76538,76538,76538,76538,76538,76538,76538,76538,76538,76538,164139,6841465,162426,SER_S11#G01#1#91,3,SER_S11/G01/G01_R1/SER_S11_G01_R1_IMAG0234.JPG,2560830,63445,SER_S11,G01,1,91,2015-08-10,23:17:51,21949972,7,4,2,0.55,0.05,0.2,0.85,0.0,0.0,1.0,0.0,,1,15.0,SER_S11/G01/G01_R1/SER_S11_G01_R1_IMAG0234.JPG,"[0.463, 0.184, 0.535, 0.816]",0.999,zebra
7484,105625,105625,105625,105625,105625,105625,105625,105625,105625,105625,105625,105625,105625,105625,105625,105625,103525,6781119,102080,SER_S11#E03#1#993,2,SER_S11/E03/E03_R1/SER_S11_E03_R1_IMAG2581.JPG,2538639,41254,SER_S11,E03,1,993,2015-09-19,06:55:22,21927379,2,1,1,0.11,0.0,0.95,0.0,0.0,0.0,0.95,0.29,0.95,11,,SER_S11/E03/E03_R1/SER_S11_E03_R1_IMAG2581.JPG,"[0.245, 0.559, 0.135, 0.219]",0.994,impala
8645,74514,74514,74514,74514,74514,74514,74514,74514,74514,74514,74514,74514,74514,74514,74514,74514,146874,6824250,145211,SER_S11#F05#1#376,2,SER_S11/F05/F05_R1/SER_S11_F05_R1_IMAG0990.JPG,2554907,57522,SER_S11,F05,1,376,2015-09-04,11:46:19,21944013,1,1,1,0.83,0.0,0.0,0.25,0.0,0.0,0.63,0.7,,2,,SER_S11/F05/F05_R1/SER_S11_F05_R1_IMAG0990.JPG,"[0.0, 0.723, 0.233, 0.276]",0.99,warthog
9750,49710,49710,49710,49710,49710,49710,49710,49710,49710,49710,49710,49710,49710,49710,49710,49710,131852,6809277,130238,SER_S11#E13#1#510,1,SER_S11/E13/E13_R1/SER_S11_E13_R1_IMAG1501.JPG,2548784,51399,SER_S11,E13,1,510,2015-11-16,08:03:54,21937905,11-50,11-50,1,0.8,0.2,0.5,0.7,0.0,0.2,0.67,0.84,,13,2.0,SER_S11/E13/E13_R1/SER_S11_E13_R1_IMAG1501.JPG,"[0.942, 0.338, 0.058, 0.615]",0.986,wildebeest
